レコード番号,手配,納品先名,受注番号_行,商品コ－ド,才数,才数2,数量,才数計,計算,出荷日,納品日,出荷数計,運送便コード
77328,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V237911_1,Z1000Z,0,0,1,0,2026/1/14,2026/1/14,2026/1/15,,1S
77329,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V244781_2,TJ2000PT,0,0,1,0,2026/1/29,2026/1/29,2026/1/30,,1S
77330,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V244781_1,TJ2000PT,0,0,1,0,2026/1/29,2026/1/29,2026/1/30,,1S
77331,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V251361_1,NND-N3NH-W75LJLJ1,27.2,0,1,27.2,2026/1/22,2026/1/22,2026/1/23,,1S
77332,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V251152_5,CE-55W09H1N05,14.1,0,1,14.1,2026/1/22,2026/1/22,2026/1/23,,1S
77333,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V251152_1,CE-51W09H1N05,3.7,0,1,3.7,2026/1/22,2026/1/22,2026/1/23,,1S
77334,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V250191_6,CE-K15W25GWM3,13.2,0,1,13.2,2026/1/22,2026/1/22,2026/1/23,,1S
77335,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V250191_2,CE-K15W25GWM3,13.2,0,1,13.2,2026/1/22,2026/1/22,2026/1/23,,1S
77336,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V246991_7,XYS-BWSSS15K9C2F,7,0,1,7,2026/1/22,2026/1/22,2026/1/23,,1S
77337,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V246991_6,XYS-BWSSS15K9C2F,7,0,1,7,2026/1/22,2026/1/22,2026/1/23,,1S
77338,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V246991_2,XYS-BWSSS15K9C2F,7,0,1,7,2026/1/22,2026/1/22,2026/1/23,,1S
77339,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V246981_2,XYS-BWSSS15K9C2F,7,0,1,7,2026/1/22,2026/1/22,2026/1/23,,1S
77340,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V246371_5,NT-S12W05N,4.7,0,1,4.7,2026/1/22,2026/1/22,2026/1/23,,1S
77341,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V246361_4,NT-16W05N,1.6,0,1,1.6,2026/1/22,2026/1/22,2026/1/23,,1S
77342,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V247101_2,XYS-BWSSS15K9C2F,7,0,1,7,2026/1/20,2026/1/20,2026/1/21,,1S
77343,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V246981_7,XYS-BWSSS15K9C2F,7,0,1,7,2026/1/20,2026/1/20,2026/1/21,,1S
77344,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V246961_5,XYR-BWSS15K9C2F,6.5,0,1,6.5,2026/1/20,2026/1/20,2026/1/21,,1S
77345,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V246251_2,XY-BWSCIXXN1C2,42.1,0,1,42.1,2026/1/20,2026/1/20,2026/1/21,,1S
77346,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V246311_5,CE-550W25CLJB6N,15.7,0,1,15.7,2026/1/22,2026/1/22,2026/1/23,,1S
77347,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V240891_5,XYS-BWSSS18K9C2F,8.3,0,1,8.3,2026/1/22,2026/1/22,2026/1/23,,1S
77348,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V240891_3,XYS-BWSSS18K9C2F,8.3,0,1,8.3,2026/1/22,2026/1/22,2026/1/23,,1S
77349,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V240881_3,XYR-BWSS18K9C2F,7.8,0,1,7.8,2026/1/22,2026/1/22,2026/1/23,,1S
77350,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V237851_3,MG-N65SGW09NN,28.9,0,1,28.9,2026/1/22,2026/1/22,2026/1/23,,1S
77351,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V237841_6,MG-N65SGW09NN,28.9,0,1,28.9,2026/1/22,2026/1/22,2026/1/23,,1S
77352,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V237491_3,W40T-KW3212G-W091,7.4,0,1,7.4,2026/1/22,2026/1/22,2026/1/23,,1S
77353,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V244261_6,XYS-BWSCS18K9L6F,7.4,0,1,7.4,2026/1/20,2026/1/20,2026/1/21,,1S
77354,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V244251_2,XYR-BWSS15VYOUF,6.5,0,1,6.5,2026/1/20,2026/1/20,2026/1/21,,1S
77355,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V243951_8,XYR-BWSS15K9L6F,6.5,0,1,6.5,2026/1/20,2026/1/20,2026/1/21,,1S
77356,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V242832_7,MVR-7M-W03LJB61,12.4,0,1,12.4,2026/1/20,2026/1/20,2026/1/21,,1S
77357,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V241541_2,NTKGH-R2112-MT12,32.2,0,1,32.2,2026/1/20,2026/1/20,2026/1/21,,1S
77358,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V241521_5,XYS-BWSSS15VYOUF,7,0,1,7,2026/1/20,2026/1/20,2026/1/21,,1S
77359,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V241461_3,XYR-BWSS12VYOUF,5.2,0,1,5.2,2026/1/20,2026/1/20,2026/1/21,,1S
77360,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V241412_5,XYR-BWSS18K9L6F,7.8,0,1,7.8,2026/1/20,2026/1/20,2026/1/21,,1S
77361,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V246921_2,XYB-BWSSS15MN1F,9.2,0,1,9.2,2026/1/6,2026/1/6,2026/1/7,,1S
77362,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V243971_3,MGT-220CD1W05N3,3.1,0,1,3.1,2026/1/6,2026/1/6,2026/1/7,,1S
77363,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V243881_6,NANS-B1C-G2E21,5.6,0,1,5.6,2026/1/6,2026/1/6,2026/1/7,,1S
77364,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V230181_6,NAN-S1C-G2E21,3.6,0,1,3.6,2026/1/20,2026/1/20,2026/1/21,,1S
77365,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V230181_3,NAN-S1C-G2E21,3.6,0,1,3.6,2026/1/20,2026/1/20,2026/1/21,,1S
77366,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V230141_9,NAN-S1C-G2E21,3.6,0,1,3.6,2026/1/20,2026/1/20,2026/1/21,,1S
77367,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V228721_9,NAN-S1C-G2M11,3.6,0,1,3.6,2026/1/20,2026/1/20,2026/1/21,,1S
77368,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V209051_2,NANS-L1C-G2391,7.4,0,1,7.4,2026/1/20,2026/1/20,2026/1/21,,1S
77369,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V207082_8,NTKPP-18120-MT12,4.4,0,1,4.4,2026/1/20,2026/1/20,2026/1/21,,1S
77370,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V259271_8,CE-K15W23GWE5,13.2,0,1,13.2,2026/2/3,2026/2/3,2026/2/4,,1S
77371,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V256362_3,XYB-BWSCS12MN1F,6.9,0,1,6.9,2026/2/3,2026/2/3,2026/2/4,,1S
77372,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V255792_3,XYB-BWSCS12MN1F,6.9,0,1,6.9,2026/2/3,2026/2/3,2026/2/4,,1S
77373,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V255681_6,XUMW-S2-BK1,0.8,0,2,1.6,2026/2/3,2026/2/3,2026/2/4,,1S
77374,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V254631_1,CE-173NN*,35.9,0,1,35.9,2026/2/3,2026/2/3,2026/2/4,,1S
77375,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V227941_9,NAN-S1C-G2E21,3.6,0,1,3.6,2026/1/6,2026/1/6,2026/1/7,,1S
77376,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V207032_3,NTKGH-R1812-MT12,27.7,0,1,27.7,2026/1/6,2026/1/6,2026/1/7,,1S
77377,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V207032_1,NTKGH-R1812-MT12,27.7,0,1,27.7,2026/1/6,2026/1/6,2026/1/7,,1S
77378,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V252562_2,XYB-BWSSS15MG8F,9.2,0,1,9.2,2026/2/3,2026/2/3,2026/2/4,,1S
77379,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V252021_3,XYS-BWSCS15K9C2F,6.2,0,1,6.2,2026/2/3,2026/2/3,2026/2/4,,1S
77380,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V252021_1,XYS-BWSCS15K9C2F,6.2,0,1,6.2,2026/2/3,2026/2/3,2026/2/4,,1S
77381,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V252012_5,XYS-BWSCS15K9C2F,6.2,0,1,6.2,2026/2/3,2026/2/3,2026/2/4,,1S
77382,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V250391_6,XYB-BWSSS18MN1F,11,0,1,11,2026/2/3,2026/2/3,2026/2/4,,1S
77383,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V249061_3,CN-W920T2,3.2,0,1,3.2,2026/2/3,2026/2/3,2026/2/4,,1S
77384,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V249061_2,CN-W920T2,3.2,0,1,3.2,2026/2/3,2026/2/3,2026/2/4,,1S
77385,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V243931_5,NTKPP-18120-MT12,4.4,0,1,4.4,2026/2/3,2026/2/3,2026/2/4,,1S
77386,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V258391_1,CNS-120BRV01H,1.9,0,1,1.9,2026/1/30,2026/1/30,2026/2/2,,1S
77387,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V255762_5,XUMW-H2H-LNA1,0.7,0,2,1.4,2026/1/30,2026/1/30,2026/2/2,,1S
77388,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V255651_1,NANS-B1C-G2M11,5.6,0,1,5.6,2026/1/30,2026/1/30,2026/2/2,,1S
77389,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V255641_2,CNF-120WW25NN,0.6,0,1,0.6,2026/1/30,2026/1/30,2026/2/2,,1S
77390,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V252591_8,XYS-BWSSS15K912F,7,0,1,7,2026/1/30,2026/1/30,2026/2/2,,1S
77391,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V250401_5,XYB-BWSSS18MN1F,11,0,1,11,2026/1/30,2026/1/30,2026/2/2,,1S
77392,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V250401_4,XYB-BWSSS18MN1F,11,0,1,11,2026/1/30,2026/1/30,2026/2/2,,1S
77393,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V249281_8,XYB-BWSSS21MN1F,12.8,0,1,12.8,2026/1/30,2026/1/30,2026/2/2,,1S
77394,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V249281_5,XYB-BWSSS21MN1F,12.8,0,1,12.8,2026/1/30,2026/1/30,2026/2/2,,1S
77395,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V249281_3,XYB-BWSSS21MN1F,12.8,0,1,12.8,2026/1/30,2026/1/30,2026/2/2,,1S
77396,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V247491_7,NTKGH-R1412-MT12,21.6,0,1,21.6,2026/1/30,2026/1/30,2026/2/2,,1S
77397,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V244761_1,W40T-KM2412G-WF51,5.5,0,1,5.5,2026/1/8,2026/1/8,2026/1/9,,1S
77398,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V244601_7,NTKPP-18120-MV52,4.4,0,1,4.4,2026/1/8,2026/1/8,2026/1/9,,1S
77399,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V243541_5,MGE-55E23W39N3,17.5,0,1,17.5,2026/1/8,2026/1/8,2026/1/9,,1S
77400,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V241401_3,XYG-BWSSPD127MN1,7.7,0,1,7.7,2026/1/8,2026/1/8,2026/1/9,,1S
77401,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V238331_2,NAN-S1C-G2M11,3.6,0,1,3.6,2026/1/8,2026/1/8,2026/1/9,,1S
77402,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V247071_8,XYB-BWSSS15MN1F,9.2,0,1,9.2,2026/1/5,2026/1/5,2026/1/6,,1S
77403,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V247071_6,XYB-BWSSS15MN1F,9.2,0,1,9.2,2026/1/5,2026/1/5,2026/1/6,,1S
77404,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V247071_3,XYB-BWSSS15MN1F,9.2,0,1,9.2,2026/1/5,2026/1/5,2026/1/6,,1S
77405,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V247062_3,XYB-BWSSS15MN1F,9.2,0,1,9.2,2026/1/5,2026/1/5,2026/1/6,,1S
77406,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V243622_1,MG-55SBW39N3,28.4,0,1,28.4,2026/1/5,2026/1/5,2026/1/6,,1S
77407,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V243612_6,NT-156W35N,7.1,0,1,7.1,2026/1/5,2026/1/5,2026/1/6,,1S
77408,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V247481_3,NT-92W79N3,12.5,0,1,12.5,2026/1/30,2026/1/30,2026/2/2,,1S
77409,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V206231_8,CE-175W25CLJB6NN,15.7,0,1,15.7,2026/1/30,2026/1/30,2026/2/2,,1S
77410,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V206221_5,CE-173W25CLJB6NN,35.9,0,1,35.9,2026/1/30,2026/1/30,2026/2/2,,1S
77411,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V227181_2,MG-220LN3*,32.6,0,1,32.6,2026/1/8,2026/1/8,2026/1/9,,1S
77412,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V243612_1,NT-155W35,6.9,0,1,6.9,2026/1/5,2026/1/5,2026/1/6,,1S
77413,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V243602_9,NAN-S1C-G2Q61,3.6,0,1,3.6,2026/1/5,2026/1/5,2026/1/6,,1S
77414,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V243602_8,NAN-S1C-G2Q61,3.6,0,1,3.6,2026/1/5,2026/1/5,2026/1/6,,1S
77415,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V242881_1,NAN-S1C-G2M11,3.6,0,1,3.6,2026/1/5,2026/1/5,2026/1/6,,1S
77416,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V242861_4,MG-N65SBW05NN,23.7,0,1,23.7,2026/1/5,2026/1/5,2026/1/6,,1S
77417,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V241471_5,XYB-BWSSS15MN1F,9.2,0,1,9.2,2026/1/5,2026/1/5,2026/1/6,,1S
77418,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V237462_4,MGE-N65E23W09NN,21.4,0,1,21.4,2026/1/5,2026/1/5,2026/1/6,,1S
77419,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V228241_4,NTKGH-R1412-2*,21.6,0,2,43.2,2026/1/5,2026/1/5,2026/1/6,,1S
77420,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V228241_2,NTKGH-R1412-2*,21.6,0,2,43.2,2026/1/5,2026/1/5,2026/1/6,,1S
77421,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V209252_4,XYR-BWSS12K9C2F,5.2,0,1,5.2,2026/1/8,2026/1/8,2026/1/9,,1S
77422,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V209081_4,NANS-L1C-G2E21,7.4,0,1,7.4,2026/1/8,2026/1/8,2026/1/9,,1S
77423,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V207092_2,NTKPP-18120-MT12,4.4,0,1,4.4,2026/1/8,2026/1/8,2026/1/9,,1S
77424,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V206991_7,NTKGH-R1412-MT12,21.6,0,1,21.6,2026/1/8,2026/1/8,2026/1/9,,1S
77425,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V206991_5,NTKGH-R1412-MT12,21.6,0,1,21.6,2026/1/8,2026/1/8,2026/1/9,,1S
77426,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V206961_7,CN-W920T2,3.2,0,1,3.2,2026/1/8,2026/1/8,2026/1/9,,1S
77427,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V206911_5,MGT-N65CD1685W09N3,5.1,0,1,5.1,2026/1/8,2026/1/8,2026/1/9,,1S
77428,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V206381_3,MVR-7M-W09LJB61,12.4,0,1,12.4,2026/1/8,2026/1/8,2026/1/9,,1S
77429,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V206381_2,MVR-7M-W09LJB61,12.4,0,1,12.4,2026/1/8,2026/1/8,2026/1/9,,1S
77430,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V206371_1,MVR-7M-W05LJB61,12.4,0,1,12.4,2026/1/8,2026/1/8,2026/1/9,,1S
77431,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V252671_2,MG-N65SGW03NN,28.9,0,1,28.9,2026/1/26,2026/1/26,2026/1/27,,1S
77432,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V242691_7,NTKGH-R1412-MT12,21.6,0,1,21.6,2026/1/26,2026/1/26,2026/1/27,,1S
77433,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V230261_2,NAN-S1C-G2E21,3.6,0,1,3.6,2026/1/26,2026/1/26,2026/1/27,,1S
77434,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V230261_1,NAN-S1C-G2E21,3.6,0,1,3.6,2026/1/26,2026/1/26,2026/1/27,,1S
77435,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V230221_5,NAN-S1C-G2E21,3.6,0,1,3.6,2026/1/26,2026/1/26,2026/1/27,,1S
77436,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V230221_2,NAN-S1C-G2E21,3.6,0,1,3.6,2026/1/26,2026/1/26,2026/1/27,,1S
77437,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V230211_5,NAN-S1C-G2E21,3.6,0,1,3.6,2026/1/26,2026/1/26,2026/1/27,,1S
77438,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V228731_9,NAN-S1C-G2M11,3.6,0,1,3.6,2026/1/26,2026/1/26,2026/1/27,,1S
77439,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V209132_9,NANS-L1C-G2Q61,7.4,0,1,7.4,2026/1/26,2026/1/26,2026/1/27,,1S
77440,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V207071_1,NTKPP-14120-MT12,3.5,0,1,3.5,2026/1/26,2026/1/26,2026/1/27,,1S
77441,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V206801_5,WBL-KW2412W-W091,19.5,0,1,19.5,2026/1/26,2026/1/26,2026/1/27,,1S
77442,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V206791_7,WBL-KW2412W-W051,19.5,0,1,19.5,2026/1/26,2026/1/26,2026/1/27,,1S
77443,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V249291_9,XYB-BWSSS21MN1F,12.8,0,1,12.8,2026/1/15,2026/1/15,2026/1/16,,1S
77444,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V248821_1,XYB-BWSSS15MN1F,9.2,0,1,9.2,2026/1/15,2026/1/15,2026/1/16,,1S
77445,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V248801_9,XYB-BWSSS15MN1F,9.2,0,1,9.2,2026/1/15,2026/1/15,2026/1/16,,1S
77446,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V248801_5,XYB-BWSSS15MN1F,9.2,0,1,9.2,2026/1/15,2026/1/15,2026/1/16,,1S
