レコード番号,手配,納品先名,受注番号_行,商品コ－ド,才数,才数2,数量,才数計,計算,出荷日,納品日,出荷数計,運送便コード
79485,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V258851_3,XYB-BWSSS18MV3F,11,0,1,11,2026/1/30,2026/1/30,2026/2/2,,1S
79486,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V258282_1,NAN-S1C-G21S1,3.6,0,1,3.6,2026/1/30,2026/1/30,2026/2/2,,1S
79487,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V228742_3,NAN-S1C-G2M11,3.6,0,1,3.6,2026/2/3,2026/2/3,2026/2/4,,1S
79488,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V252662_9,XYS-BWSSS15K912F,7,0,1,7,2026/1/30,2026/1/30,2026/2/2,,1S
79489,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V251993_4,XYR-BWSS12VYOUF,5.2,0,1,5.2,2026/1/30,2026/1/30,2026/2/2,,1S
79490,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V251231_2,MGT-55D1685W35NN,4.9,0,1,4.9,2026/1/30,2026/1/30,2026/2/2,,1S
79491,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V250782_6,XYS-BWSSS15K9L6F,7,0,1,7,2026/1/30,2026/1/30,2026/2/2,,1S
79492,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V249281_7,XYB-BWSSS21MN1F,12.8,0,1,12.8,2026/1/30,2026/1/30,2026/2/2,,1S
79493,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V244601_6,NTKPP-18120-MV52,4.4,0,1,4.4,2026/1/8,2026/1/8,2026/1/9,,1S
79494,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V243541_4,MGE-55E23W39N3,17.5,0,1,17.5,2026/1/8,2026/1/8,2026/1/9,,1S
