レコード番号,運送便コード,手配,納品先名,出荷日,納品日,商品コ－ド,数量,才数計
77107,XX,オリジン㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,2025/9/22,2025/9/24,CNC-1602G2Q6,2,2.4
77106,XX,オリジン㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,2025/9/19,2025/9/22,NTKS-SCCN-G2M62,4,16
77105,XX,オリジン㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,2025/9/19,2025/9/22,NTKS-21CN-G2E22,2,23.2
77104,XX,オリジン㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,2025/9/19,2025/9/22,NTKS-12CN-G2E22,3,20.1
77103,XX,オリジン㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,2025/9/19,2025/9/22,NTKH-WMC21N-G21K2,2,29.4
77102,XX,オリジン㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,2025/9/19,2025/9/22,NTKH-WMC18N-G2E22,2,25.2
77101,XX,オリジン㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,2025/9/19,2025/9/22,NTKH-WMC12N-G2E22,4,34
77100,XX,オリジン㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,2025/9/19,2025/9/22,NTKH-WLC21N-G2M62,3,30.9
77099,XX,オリジン㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,2025/9/19,2025/9/22,NTKA-H21-G2E21,2,7.4
77098,XX,オリジン㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,2025/9/19,2025/9/22,NTKA-H14-G2E21,2,4.8
77097,XX,オリジン㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,2025/9/19,2025/9/22,NTKA-H12-G2E21,4,8.4
77096,XX,オリジン㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,2025/9/19,2025/9/22,NFRS-2206-M11,10,108
77095,XX,オリジン㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,2025/9/19,2025/9/22,MSB-6S-VZE51,5,170
77094,XX,オリジン㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,2025/9/19,2025/9/22,CNS-S1610G2V3,2,19.6
77093,XX,オリジン㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,2025/9/19,2025/9/22,CNS-S1610G2M1,4,39.2
77092,XX,オリジン㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,2025/9/19,2025/9/22,CNS-S1610G20T,2,19.6
77091,XX,オリジン㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,2025/9/19,2025/9/22,CNS-S1600UG2V3,2,48
77090,XX,オリジン㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,2025/9/19,2025/9/22,CNS-S1600UG20T,2,48
77089,XX,オリジン㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,2025/9/18,2025/9/19,NTKS-21CN-G2Q62,1,11.6
77088,XX,オリジン㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,2025/9/18,2025/9/19,NTKS-21CN-G2M62,1,11.6
77087,XX,オリジン㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,2025/9/18,2025/9/19,NTKS-18CN-G2M62,4,40
77086,XX,オリジン㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,2025/9/18,2025/9/19,NTKS-18CN-G2E22,8,80
77085,XX,オリジン㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,2025/9/18,2025/9/19,NTKS-18CN-G21S2,2,20
77084,XX,オリジン㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,2025/9/18,2025/9/19,NTKS-14CN-G21S2,1,7.8
77083,XX,オリジン㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,2025/9/18,2025/9/19,NTKS-09CN-G21S2,1,5.1
77082,XX,オリジン㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,2025/9/18,2025/9/19,NTKS-07CN-G21K2,5,20
77081,XX,オリジン㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,2025/9/18,2025/9/19,NTKH-WMC21N-G2Q62,1,14.7
77080,XX,オリジン㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,2025/9/18,2025/9/19,NTKH-WMC21N-G2M62,1,14.7
77079,XX,オリジン㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,2025/9/18,2025/9/19,NTKH-WMC18N-G21S2,2,25.2
77078,XX,オリジン㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,2025/9/18,2025/9/19,NTKH-WMC14N-G21S2,1,9.9
77077,XX,オリジン㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,2025/9/18,2025/9/19,NTKH-WMC09N-G21S2,1,6.4
77076,XX,オリジン㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,2025/9/18,2025/9/19,NTKH-WLC14N-G21K2,1,6.9
77075,XX,オリジン㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,2025/9/18,2025/9/19,NTKA-H21-G2Q61,1,3.7
77074,XX,オリジン㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,2025/9/18,2025/9/19,NTKA-H21-G2M61,1,3.7
77073,XX,オリジン㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,2025/9/18,2025/9/19,NTKA-H18-G21S1,2,5.8
77072,XX,オリジン㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,2025/9/18,2025/9/19,NTKA-H14-G21S1,1,2.4
77071,XX,オリジン㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,2025/9/18,2025/9/19,NTKA-H09-G21S1,1,1.5
77070,XX,オリジン㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,2025/9/18,2025/9/19,NFRS-1906-M11,10,93
77069,XX,オリジン㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,2025/9/18,2025/9/19,MSB-6C-GWM31,4,136
77068,XX,オリジン㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,2025/9/18,2025/9/19,CE-972W85VZE6,5,125
